horizon,selected_threshold,validation_f1,validation_precision,validation_recall,validation_roc_auc,validation_pr_auc,test_f1,test_precision,test_recall,test_roc_auc,test_pr_auc
7,0.25,0.5185,0.4433,0.6244,0.8093,0.507,0.531,0.4513,0.645,0.813,0.521
14,0.29,0.6228,0.5487,0.7201,0.8138,0.6421,0.6374,0.5651,0.731,0.8182,0.6575
30,0.33,0.71,0.6363,0.803,0.8205,0.7678,0.7189,0.6535,0.7989,0.8225,0.777
