buy_threshold,wait_threshold,rows,buy_now_rows,uncertain_rows,wait_rows,buy_now_rate,uncertain_rate,wait_rate,decisive_rate,buy_now_actual_drop_rate,uncertain_actual_drop_rate,wait_actual_drop_rate,avg_conservative_saving_decisive_rows,avg_conservative_saving_all_rows,pct_pays_more_decisive_rows,pct_wait_pays_more_conservative,horizon
0.3,0.625,255642,111006,79750,64886,0.4342,0.312,0.2538,0.688,0.1609,0.4667,0.7989,3.2819,2.2581,0.0821,0.2225,30
0.3,0.65,255642,111006,84780,59856,0.4342,0.3316,0.2341,0.6684,0.1609,0.4782,0.8106,3.3441,2.235,0.0754,0.2153,30
0.3,0.675,255642,111006,89964,54672,0.4342,0.3519,0.2139,0.6481,0.1609,0.49,0.8227,3.3919,2.1982,0.0686,0.2078,30
0.3,0.7,255642,111006,95125,49511,0.4342,0.3721,0.1937,0.6279,0.1609,0.5016,0.835,3.4215,2.1484,0.0617,0.2,30
0.3,0.725,255642,111006,100476,44160,0.4342,0.393,0.1727,0.607,0.1609,0.5144,0.8463,3.4404,2.0882,0.0547,0.1922,30
0.3,0.75,255642,111006,105830,38806,0.4342,0.414,0.1518,0.586,0.1609,0.5274,0.8568,3.4011,1.9931,0.0478,0.1845,30
0.3,0.775,255642,111006,111157,33479,0.4342,0.4348,0.131,0.5652,0.1609,0.5388,0.8711,3.3461,1.8912,0.0406,0.1751,30
0.3,0.8,255642,111006,116601,28035,0.4342,0.4561,0.1097,0.5439,0.1609,0.5512,0.8844,3.237,1.7605,0.0334,0.1658,30
0.3,0.825,255642,111006,121604,23032,0.4342,0.4757,0.0901,0.5243,0.1609,0.5624,0.8977,3.0272,1.5872,0.0269,0.1563,30
0.3,0.85,255642,111006,126292,18344,0.4342,0.494,0.0718,0.506,0.1609,0.5728,0.9113,2.808,1.4208,0.021,0.1477,30
0.3,0.875,255642,111006,130779,13857,0.4342,0.5116,0.0542,0.4884,0.1609,0.5834,0.9207,2.4842,1.2133,0.0152,0.1371,30
0.3,0.9,255642,111006,134810,9826,0.4342,0.5273,0.0384,0.4727,0.1609,0.5926,0.9338,2.11,0.9973,0.0102,0.1252,30
0.325,0.45,255642,119187,33796,102659,0.4662,0.1322,0.4016,0.8678,0.1724,0.4005,0.7095,2.6237,2.2768,0.1234,0.2666,30
0.325,0.475,255642,119187,39442,97013,0.4662,0.1543,0.3795,0.8457,0.1724,0.4114,0.7231,2.7168,2.2976,0.1167,0.26,30
0.325,0.5,255642,119187,44989,91466,0.4662,0.176,0.3578,0.824,0.1724,0.4223,0.7366,2.8008,2.3079,0.1104,0.2542,30
0.325,0.525,255642,119187,50398,86057,0.4662,0.1971,0.3366,0.8029,0.1724,0.4334,0.7499,2.873,2.3066,0.1041,0.2483,30
